inst#,actual,predicted,error,prediction
923,1:0,1:0,,0.6
924,1:0,2:1,+,0.505
925,1:0,1:0,,0.607
926,1:0,2:1,+,0.506
927,1:0,1:0,,0.602
928,1:0,1:0,,0.627
929,1:0,1:0,,0.685
930,1:0,2:1,+,0.516
931,1:0,1:0,,0.585
932,1:0,2:1,+,0.534
933,1:0,1:0,,0.545
934,1:0,1:0,,0.663
935,1:0,2:1,+,0.55
936,1:0,1:0,,0.711
937,1:0,1:0,,0.644
938,1:0,1:0,,0.641
939,1:0,1:0,,0.568
940,1:0,2:1,+,0.571
941,1:0,2:1,+,0.592
942,1:0,1:0,,0.667
943,1:0,1:0,,0.63
944,1:0,1:0,,0.643
945,1:0,1:0,,0.687
946,1:0,1:0,,0.565
947,1:0,1:0,,0.535
948,1:0,1:0,,0.644
949,1:0,1:0,,0.623
950,1:0,1:0,,0.52
951,1:0,1:0,,0.537
952,1:0,2:1,+,0.51
953,1:0,1:0,,0.598
954,1:0,1:0,,0.504
955,1:0,1:0,,0.597
956,1:0,1:0,,0.638
957,1:0,1:0,,0.697
958,1:0,1:0,,0.58
959,1:0,1:0,,0.671
960,1:0,1:0,,0.697
961,1:0,1:0,,0.655
962,1:0,2:1,+,0.531
963,1:0,1:0,,0.679
964,1:0,1:0,,0.657
965,1:0,1:0,,0.643
966,1:0,1:0,,0.728
967,1:0,2:1,+,0.52
968,1:0,1:0,,0.632
969,1:0,1:0,,0.53
970,1:0,2:1,+,0.536
971,1:0,1:0,,0.6
972,1:0,1:0,,0.753
973,1:0,1:0,,0.573
974,1:0,2:1,+,0.719
975,1:0,1:0,,0.546
976,1:0,1:0,,0.67
977,1:0,2:1,+,0.603
978,1:0,1:0,,0.592
979,1:0,2:1,+,0.509
980,1:0,1:0,,0.59
981,1:0,1:0,,0.53
982,1:0,2:1,+,0.53
983,1:0,1:0,,0.749
984,1:0,1:0,,0.52
985,1:0,1:0,,0.599
986,1:0,1:0,,0.654
987,1:0,1:0,,0.58
988,1:0,1:0,,0.512
989,1:0,1:0,,0.729
990,1:0,1:0,,0.63
991,1:0,1:0,,0.638
992,1:0,1:0,,0.601
993,1:0,1:0,,0.634
994,1:0,1:0,,0.648
995,1:0,1:0,,0.61
996,1:0,1:0,,0.502
997,1:0,1:0,,0.619
998,1:0,1:0,,0.598
999,1:0,1:0,,0.687
1000,1:0,1:0,,0.569
1001,1:0,1:0,,0.615
1002,1:0,1:0,,0.527
1003,1:0,1:0,,0.584
1004,1:0,1:0,,0.542
1005,1:0,1:0,,0.592
1006,1:0,2:1,+,0.55
1007,1:0,1:0,,0.585
1008,1:0,1:0,,0.64
1009,1:0,2:1,+,0.515
1010,1:0,1:0,,0.606
1011,1:0,1:0,,0.597
1012,1:0,1:0,,0.544
1013,1:0,1:0,,0.566
1014,1:0,1:0,,0.638
1015,1:0,1:0,,0.548
1016,1:0,1:0,,0.568
1017,1:0,1:0,,0.529
1018,1:0,1:0,,0.585
1019,1:0,1:0,,0.71
1020,1:0,1:0,,0.584
1021,1:0,1:0,,0.718
1022,1:0,1:0,,0.647
1023,1:0,1:0,,0.511
1024,1:0,1:0,,0.598
1025,1:0,1:0,,0.564
1026,1:0,1:0,,0.624
1027,1:0,1:0,,0.64
1028,1:0,1:0,,0.579
1029,1:0,1:0,,0.671
1030,1:0,1:0,,0.581
1031,1:0,1:0,,0.562
1032,1:0,2:1,+,0.625
1033,1:0,1:0,,0.59
1034,1:0,2:1,+,0.689
1035,1:0,1:0,,0.622
1036,1:0,1:0,,0.62
1037,1:0,1:0,,0.727
1038,1:0,1:0,,0.609
1039,1:0,1:0,,0.555
1040,1:0,2:1,+,0.674
1041,1:0,1:0,,0.632
1042,1:0,2:1,+,0.547
1043,1:0,1:0,,0.644
1044,1:0,1:0,,0.668
1045,1:0,1:0,,0.725
1046,1:0,1:0,,0.587
1047,1:0,2:1,+,0.754
1048,1:0,1:0,,0.777
1049,1:0,2:1,+,0.516
1050,1:0,1:0,,0.537
1051,1:0,1:0,,0.558
1052,1:0,2:1,+,0.683
1053,1:0,1:0,,0.613
1054,1:0,2:1,+,0.689
1055,1:0,1:0,,0.719
1056,1:0,1:0,,0.657
1057,1:0,1:0,,0.647
1058,1:0,1:0,,0.59
1059,1:0,1:0,,0.617
1060,1:0,1:0,,0.648
1061,1:0,1:0,,0.549
1062,1:0,1:0,,0.575
1063,1:0,1:0,,0.654
1064,1:0,1:0,,0.637
1065,1:0,1:0,,0.587
1066,1:0,1:0,,0.638
1067,1:0,1:0,,0.545
1068,1:0,1:0,,0.608
1069,1:0,2:1,+,0.568
1070,1:0,1:0,,0.683
1071,1:0,1:0,,0.627
1072,1:0,1:0,,0.597
1073,1:0,1:0,,0.656
1074,1:0,1:0,,0.657
1075,1:0,1:0,,0.639
1076,1:0,2:1,+,0.56
1077,1:0,1:0,,0.652
1078,1:0,1:0,,0.585
1079,1:0,2:1,+,0.535
1080,1:0,1:0,,0.644
1081,1:0,1:0,,0.624
1082,1:0,1:0,,0.571
1083,1:0,1:0,,0.606
1084,1:0,1:0,,0.567
1085,1:0,1:0,,0.5
1086,1:0,1:0,,0.643
1087,1:0,2:1,+,0.573
1088,1:0,1:0,,0.571
1089,1:0,2:1,+,0.51
1090,1:0,1:0,,0.614
1091,1:0,1:0,,0.614
1092,1:0,2:1,+,0.546
1093,1:0,1:0,,0.617
1094,1:0,1:0,,0.598
1095,1:0,1:0,,0.576
1096,1:0,1:0,,0.583
1097,1:0,1:0,,0.742
1098,1:0,2:1,+,0.697
1099,1:0,1:0,,0.715
1100,1:0,1:0,,0.513
1101,1:0,1:0,,0.573
1102,1:0,1:0,,0.527
1103,1:0,1:0,,0.548
1104,1:0,1:0,,0.674
1105,1:0,1:0,,0.541
1106,1:0,1:0,,0.519
1107,1:0,1:0,,0.598
1108,1:0,2:1,+,0.588
1109,1:0,1:0,,0.682
1110,1:0,2:1,+,0.617
1111,1:0,1:0,,0.579
1112,1:0,1:0,,0.594
1113,1:0,1:0,,0.57
1114,1:0,1:0,,0.57
1115,1:0,1:0,,0.714
1116,1:0,2:1,+,0.556
1117,1:0,1:0,,0.626
1118,1:0,1:0,,0.687
1119,1:0,1:0,,0.619
1120,1:0,1:0,,0.634

